dyError;dthetaError;dkappaError;vrotError;vRotKappaError;vRotPosFilteredError;vRotPosUnfilteredError;vRotPosError;timeError
-0.000839902270164;-0.000854455123921;0.0;0.0036959349855;0.0;-0.000952698907748;-0.00302083776765;0.0036959349855;1490978240.77
-0.000839902270164;-0.000854455123921;0.0;0.00358861696574;0.0;-0.000973145911179;-0.00302083776765;0.00358861696574;1490978240.79
-0.000839902270164;-0.000854455123921;0.0;0.00347815510798;0.0;-0.00100075114169;-0.00302083776765;0.00347815510798;1490978240.81
-0.000839902270164;-0.000854455123921;0.0;0.00336406013508;0.0;-0.00103670243346;-0.00302083776765;0.00336406013508;1490978240.83
-0.000839902270164;-0.000854455123921;0.0;0.00324558571099;0.0;-0.00108163460435;-0.00302083776765;0.00324558571099;1490978240.85
-0.000839902270164;-0.000854455123921;0.0;0.00311520560154;0.0;-0.00114535402626;-0.00302083776765;0.00311520560154;1490978240.87
-0.000891657941099;-0.00145902673887;0.0;0.00298176117972;0.0;-0.00121691957643;-0.0041696539421;0.00298176117972;1490978240.89
-0.000891657941099;-0.00145902673887;0.0;0.00284495274943;0.0;-0.00129681600797;-0.0041696539421;0.00284495274943;1490978240.91
-0.000891657941099;-0.00145902673887;0.0;0.00270387122531;0.0;-0.00138581146286;-0.0041696539421;0.00270387122531;1490978240.93
-0.000891657941099;-0.00145902673887;0.0;0.00255844668625;0.0;-0.00148435312219;-0.0041696539421;0.00255844668625;1490978240.95
-0.000891657941099;-0.00145902673887;0.0;0.00240878511196;0.0;-0.00159235742261;-0.0041696539421;0.00240878511196;1490978240.97
-0.000891657941099;-0.00145902673887;0.0;0.00226004077241;0.0;-0.0017033160236;-0.0041696539421;0.00226004077241;1490978240.99
-0.000913114416109;-0.00192264142974;0.0;0.00210744809181;0.0;-0.00182336202219;-0.00480605471295;0.00210744809181;1490978241.01
-0.000913114416109;-0.00192264142974;0.0;0.00194794188817;0.0;-0.00195188982849;-0.00480605471295;0.00194794188817;1490978241.03
-0.000913114416109;-0.00192264142974;0.0;0.00178977711602;0.0;-0.00208839258295;-0.00480605471295;0.00178977711602;1490978241.05
-0.000913114416109;-0.00192264142974;0.0;0.0016284736256;0.0;-0.00223216038513;-0.00480605471295;0.0016284736256;1490978241.07
-0.000913114416109;-0.00192264142974;0.0;0.00146585714657;0.0;-0.00238219212087;-0.00480605471295;0.00146585714657;1490978241.09
-0.000913114416109;-0.00192264142974;0.0;0.00130219155273;0.0;-0.00253727628828;-0.00480605471295;0.00130219155273;1490978241.11
-0.000913114416109;-0.00192264142974;0.0;0.00113987392407;0.0;-0.00269459866055;-0.00480605471295;0.00113987392407;1490978241.13
-0.00110692117596;-0.00216448369964;0.0;0.000979419757057;0.0;-0.0028546092368;-0.00577063819106;0.000979419757057;1490978241.15
-0.00110692117596;-0.00216448369964;0.0;0.000820441335444;0.0;-0.00301663764528;-0.00577063819106;0.000820441335444;1490978241.17
-0.00110692117596;-0.00216448369964;0.0;0.000663363540018;0.0;-0.00318045883098;-0.00577063819106;0.000663363540018;1490978241.19
-0.00110692117596;-0.00216448369964;0.0;0.000507933488652;0.0;-0.0033457733145;-0.00577063819106;0.000507933488652;1490978241.21
-0.00110692117596;-0.00216448369964;0.0;0.000354719290084;0.0;-0.00351201738883;-0.00577063819106;0.000354719290084;1490978241.23
-0.00110692117596;-0.00216448369964;0.0;0.000214541444708;0.0;-0.00366513195479;-0.00577063819106;0.000214541444708;1490978241.26
-0.0011135574988;-0.00228584170825;0.0;7.61022446777e-05;0.0;-0.00381948841394;-0.00617373021993;7.61022446777e-05;1490978241.28
-0.0011135574988;-0.00228584170825;0.0;-6.0122253642e-05;0.0;-0.003974384116;-0.00617373021993;-6.0122253642e-05;1490978241.3
-0.0011135574988;-0.00228584170825;0.0;-0.000193763249755;0.0;-0.00412925150475;-0.00617373021993;-0.000193763249755;1490978241.32
-0.0011135574988;-0.00228584170825;0.0;-0.000324347449263;0.0;-0.00428346643517;-0.00617373021993;-0.000324347449263;1490978241.34
-0.0011135574988;-0.00228584170825;0.0;-0.000451433830053;0.0;-0.00443629026186;-0.00617373021993;-0.000451433830053;1490978241.36
-0.0011135574988;-0.00228584170825;0.0;-0.000553454402563;0.0;-0.00455943080606;-0.00617373021993;-0.000553454402563;1490978241.38
-0.00130473814786;-0.00217007881602;0.0;-0.000654289427803;0.0;-0.0046835063804;-0.00668182280849;-0.000654289427803;1490978241.4
-0.00130473814786;-0.00217007881602;0.0;-0.000753525810367;0.0;-0.00480795702609;-0.00668182280849;-0.000753525810367;1490978241.42
-0.00130473814786;-0.00217007881602;0.0;-0.000850963020957;0.0;-0.00493245325322;-0.00668182280849;-0.000850963020957;1490978241.44
